all|main|bittorrent|btreannounce,btcompletedir,btcompletedir.bittorrent,btlaunchmany,btrename,btmakemetafile.bittorrent,btlaunchmany.bittorrent,btdownloadheadless,btshowmetainfo.bittorrent,bttrack,btlaunchmanycurses,btmakemetafile,btreannounce.bittorrent,btrename.bittorrent,btshowmetainfo,btdownloadcurses.bittorrent,btdownloadheadless.bittorrent,bttrack.bittorrent,btdownloadcurses,btlaunchmanycurses.bittorrent
i386|main|bogl-bterm|bterm
i386|main|libbogl-dev|bdftobogl,pngtobogl,mergebdf,reduce-font
i386|main|bogofilter-bdb|bogoupgrade-bdb,bogoupgrade,bf_compact-bdb,bogolexer,bogoutil,bogoutil-bdb,bf_copy-bdb,bogotune,bf_compact,bogofilter-bdb,bf_copy,bf_tar-bdb,bogotune-bdb,bogolexer-bdb,bf_tar,bogofilter
i386|main|bridge-utils|brctl
i386|main|brltty-x11|xbrlapi
i386|main|brltty|vstp,brltty-setup,brltty
i386|main|finger|finger
i386|main|bsdmainutils|write,hexdump,from,look,ncal,column,lorder,colrm,ul,cal,bsd-write,colcrt,calendar,banner,col,hd
i386|main|byacc|yacc,byacc
i386|main|bzip2|bzexe,bzip2,bzfgrep,bzdiff,bzless,bzegrep,bzcmp,bunzip2,bzip2recover,bzmore,bzgrep,bzcat
all|main|bittornado|btreannounce,btrename,btshowmetainfo.bittornado,bttrack.bittornado,btcompletedir.bittornado,btshowmetainfo,btdownloadheadless.bittornado,btlaunchmany,btcompletedirgui,btcompletedir,btlaunchmany.bittornado,btdownloadcurses.bittornado,btreannounce.bittornado,bttrack,btmakemetafile.bittornado,btlaunchmanycurses,btlaunchmanycurses.bittornado,btdownloadcurses,btrename.bittornado,btsethttpseeds,btmakemetafile,btcopyannounce,btdownloadheadless,btdownloadgui
i386|main|bonnie++|zcav,bonnie++,bonnie,bon_csv2html,bon_csv2txt
all|main|bbdb|bbdb-cid.pl,bbdb-areacode-split.pl,bbdb-unlazy-lock.pl,bbdb-srv.pl
all|main|binfmt-support|update-binfmts
all|main|bsh|xbsh,bsh
i386|main|bzr|bzr
i386|main|brasero|brasero
all|main|bash-completion|dh_bash-completion
i386|main|bacula-common|btraceback
i386|main|bacula-console|bacula-console,bconsole
i386|main|bacula-director-common|bsmtp,bregex,bwild
i386|main|bacula-director-mysql|dbcheck,bacula-dir
i386|main|bacula-director-pgsql|dbcheck,bacula-dir
i386|main|bacula-director-sqlite3|dbcheck,bacula-dir
i386|main|bacula-fd|bacula-fd
i386|main|bacula-sd-mysql|bcopy,bscan
i386|main|bacula-sd-pgsql|bcopy,bscan
i386|main|bacula-sd-sqlite3|bcopy,bscan
